movieId,title,genres,LastRated,LastRecommended
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1535653800,1970-01-01
2,Jumanji (1995),Adventure|Children|Fantasy,1529865000,1970-01-01
3,Grumpier Old Men (1995),Comedy|Romance,1498415400,1970-01-01
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1237660200,1970-01-01
5,Father of the Bride Part II (1995),Comedy,1517337000,1970-01-01
6,Heat (1995),Action|Crime|Thriller,1530556200,1970-01-01
7,Sabrina (1995),Comedy|Romance,1498415400,1970-01-01
8,Tom and Huck (1995),Adventure|Children,1171996200,1970-01-01
9,Sudden Death (1995),Action,1498415400,1970-01-01
10,GoldenEye (1995),Action|Adventure|Thriller,1537122600,1970-01-01
11,"American President, The (1995)",Comedy|Drama|Romance,1533925800,1970-01-01
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1519151400,1970-01-01
13,Balto (1995),Adventure|Animation|Children,1494181800,1970-01-01
14,Nixon (1995),Drama,1120761000,1970-01-01
15,Cutthroat Island (1995),Action|Adventure|Romance,1519151400,1970-01-01
16,Casino (1995),Crime|Drama,1533839400,1970-01-01
17,Sense and Sensibility (1995),Drama|Romance,1513967400,1970-01-01
18,Four Rooms (1995),Comedy,1532802600,1970-01-01
19,Ace Ventura: When Nature Calls (1995),Comedy,1513967400,1970-01-01
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1498415400,1970-01-01
21,Get Shorty (1995),Comedy|Crime|Thriller,1513967400,1970-01-01
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1533925800,1970-01-01
23,Assassins (1995),Action|Crime|Thriller,1498415400,1970-01-01
24,Powder (1995),Drama|Sci-Fi,1518546600,1970-01-01
25,Leaving Las Vegas (1995),Drama|Romance,1518114600,1970-01-01
26,Othello (1995),Drama,1498415400,1970-01-01
27,Now and Then (1995),Children|Drama,1424457000,1970-01-01
28,Persuasion (1995),Drama|Romance,1435948200,1970-01-01
29,"City of Lost Children, The (CitÃÂ© des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1498415400,1970-01-01
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1039372200,1970-01-01
31,Dangerous Minds (1995),Drama,1530556200,1970-01-01
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1535653800,1970-01-01
33,Babe (1995),Children|Drama,1537122600,1970-01-01
34,Dead Man Walking (1995),Crime|Drama,1513967400,1970-01-01
35,It Takes Two (1995),Children|Comedy,1419705000,1970-01-01
36,Clueless (1995),Comedy|Romance,1535740200,1970-01-01
37,"Cry, the Beloved Country (1995)",Drama,1057775400,1970-01-01
38,Richard III (1995),Drama|War,1498415400,1970-01-01
39,Dead Presidents (1995),Action|Crime|Drama,1498501800,1970-01-01
40,Restoration (1995),Drama,1519324200,1970-01-01
41,Mortal Kombat (1995),Action|Adventure|Fantasy,1533839400,1970-01-01
42,To Die For (1995),Comedy|Drama|Thriller,1498415400,1970-01-01
43,How to Make an American Quilt (1995),Drama|Romance,1333564200,1970-01-01
44,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1533839400,1970-01-01
45,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,1518546600,1970-01-01
46,When Night Is Falling (1995),Drama|Romance,974831400,1970-01-01
47,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1537122600,1970-01-01
48,Mighty Aphrodite (1995),Comedy|Drama|Romance,1498501800,1970-01-01
49,Lamerica (1994),Adventure|Drama,963081000,1970-01-01
50,"Big Green, The (1995)",Children|Comedy,1027449000,1970-01-01
51,Georgia (1995),Drama,858709800,1970-01-01
52,Home for the Holidays (1995),Drama,1519151400,1970-01-01
53,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,1285871400,1970-01-01
54,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,1519065000,1970-01-01
55,Eye for an Eye (1996),Drama|Thriller,1519237800,1970-01-01
56,Mr. Holland's Opus (1995),Drama,1533925800,1970-01-01
57,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,1342204200,1970-01-01
58,Two if by Sea (1996),Comedy|Romance,980015400,1970-01-01
59,Bio-Dome (1996),Comedy,1518546600,1970-01-01
60,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,1201113000,1970-01-01
